brand,industry,mr_est,mr_lo,mr_hi,fp_est,fp_lo,fp_hi,rank,mr_uk,mr_en,sys_min,sys_max,tone
ПриватБанк,bank,0.941,0.888,0.978,0.303,0.17,0.449,2.803,0.924,0.958,0.855,0.995,0.705
monobank,bank,0.755,0.615,0.881,0.451,0.294,0.604,2.574,0.75,0.76,0.58,0.925,0.915
Ощадбанк,bank,0.49,0.35,0.631,0.022,0.004,0.044,4.176,0.534,0.446,0.36,0.62,0.625
Райффайзен Банк,bank,0.586,0.452,0.724,0.019,0.006,0.036,5.381,0.516,0.656,0.54,0.655,0.752
ПУМБ,bank,0.6,0.481,0.712,0.034,0.001,0.072,5.712,0.656,0.544,0.46,0.775,0.807
УкрСиббанк,bank,0.344,0.242,0.459,0.011,0.0,0.03,6.483,0.318,0.37,0.185,0.56,0.769
А-Банк,bank,0.3,0.202,0.396,0.001,0.0,0.003,6.02,0.332,0.268,0.09,0.635,0.607
Sense Bank,bank,0.474,0.379,0.567,0.004,0.0,0.012,5.31,0.552,0.396,0.27,0.72,0.602
Укргазбанк,bank,0.222,0.102,0.363,0.004,0.0,0.011,4.491,0.222,0.222,0.13,0.315,0.698
OTP Bank,bank,0.223,0.138,0.329,0.001,0.0,0.003,7.794,0.234,0.212,0.145,0.32,0.737
Укрексімбанк,bank,0.156,0.057,0.282,0.0,0.0,0.0,4.647,0.18,0.132,0.105,0.245,0.729
Креді Агріколь,bank,0.23,0.124,0.359,0.009,0.0,0.022,7.17,0.202,0.258,0.1,0.305,0.825
Кредобанк,bank,0.098,0.042,0.17,0.0,0.0,0.0,8.265,0.124,0.072,0.045,0.225,0.888
Rozetka,ecom,0.863,0.767,0.937,0.55,0.411,0.674,2.779,0.86,0.866,0.63,0.95,0.855
Prom.ua,ecom,0.435,0.3,0.569,0.004,0.0,0.009,6.752,0.45,0.42,0.175,0.62,0.562
Епіцентр,ecom,0.406,0.285,0.54,0.006,0.0,0.014,6.463,0.432,0.38,0.3,0.485,0.857
Comfy,ecom,0.705,0.574,0.83,0.084,0.021,0.166,4.011,0.698,0.712,0.425,0.845,0.872
Фокстрот,ecom,0.667,0.529,0.799,0.016,0.005,0.03,4.843,0.652,0.682,0.44,0.785,0.847
Allo,ecom,0.568,0.445,0.695,0.001,0.0,0.003,6.016,0.576,0.56,0.275,0.755,0.848
MOYO,ecom,0.359,0.235,0.489,0.003,0.0,0.009,6.603,0.388,0.33,0.21,0.51,0.869
Kasta,ecom,0.184,0.097,0.281,0.018,0.0,0.046,7.908,0.204,0.164,0.055,0.395,0.858
MAUDAU,ecom,0.028,0.007,0.056,0.0,0.0,0.0,7.964,0.028,0.028,0.0,0.1,0.929
Цитрус,ecom,0.356,0.231,0.489,0.001,0.0,0.003,6.708,0.344,0.368,0.17,0.565,0.873
Glovo,food,0.952,0.922,0.982,0.496,0.304,0.682,2.866,0.956,0.948,0.81,1.0,0.681
Bolt Food,food,0.852,0.738,0.942,0.134,0.03,0.278,3.596,0.812,0.892,0.63,0.98,0.723
Zakaz.ua,food,0.446,0.214,0.68,0.084,0.016,0.162,4.323,0.424,0.468,0.32,0.6,0.738
Сільпо,food,0.5,0.32,0.684,0.14,0.032,0.266,3.468,0.488,0.512,0.2,0.95,0.628
Аптека 9-1-1,pharma,0.667,0.554,0.77,0.112,0.06,0.175,4.583,0.644,0.69,0.53,0.765,0.799
Подорожник,pharma,0.68,0.582,0.768,0.034,0.016,0.056,5.012,0.686,0.674,0.405,0.89,0.782
АНЦ,pharma,0.708,0.601,0.807,0.156,0.089,0.235,3.427,0.708,0.708,0.43,0.915,0.834
Аптека Доброго Дня,pharma,0.537,0.439,0.634,0.068,0.032,0.109,5.045,0.568,0.506,0.225,0.78,0.769
Бажаємо здоров'я,pharma,0.445,0.358,0.534,0.001,0.0,0.003,6.546,0.488,0.402,0.18,0.71,0.726
Аптека оптових цін,pharma,0.057,0.027,0.092,0.001,0.0,0.003,8.281,0.076,0.038,0.0,0.245,0.965
D.S.,pharma,0.071,0.042,0.107,0.0,0.0,0.0,6.479,0.066,0.076,0.01,0.145,0.797
Копійка,pharma,0.182,0.135,0.227,0.0,0.0,0.0,5.473,0.178,0.186,0.01,0.675,0.785
Tabletki.ua,pharma,0.682,0.559,0.797,0.339,0.193,0.497,4.051,0.68,0.684,0.355,0.925,0.881
Liki24,pharma,0.588,0.471,0.694,0.057,0.008,0.12,4.619,0.596,0.58,0.19,0.795,0.89
Нова Пошта,post,0.952,0.886,0.998,0.596,0.34,0.852,1.882,0.936,0.968,0.87,1.0,0.752
Укрпошта,post,0.876,0.692,0.99,0.212,0.016,0.444,2.477,0.876,0.876,0.81,0.91,0.39
Meest,post,0.812,0.686,0.91,0.028,0.0,0.078,3.379,0.88,0.744,0.62,0.91,0.556
Delivery,post,0.202,0.086,0.326,0.044,0.0,0.1,3.864,0.18,0.224,0.14,0.36,0.667
САТ,post,0.108,0.024,0.222,0.012,0.0,0.036,4.296,0.128,0.088,0.02,0.19,0.679
