industry,brand,uk,en,gap,lo,hi,p,foreign,significant,q_bh,significant_fdr
bank,ПриватБанк,0.924,0.958,-0.034,-0.078,0.012,0.156,False,False,0.364,False
bank,monobank,0.75,0.76,-0.01,-0.062,0.036,0.755,False,False,0.928,False
bank,Ощадбанк,0.534,0.446,0.088,0.024,0.152,0.008,False,True,0.054,False
bank,Райффайзен Банк,0.516,0.656,-0.14,-0.22,-0.066,0.0,True,True,0.0,True
bank,ПУМБ,0.656,0.544,0.112,0.05,0.178,0.0,False,True,0.0,True
bank,УкрСиббанк,0.318,0.37,-0.052,-0.114,0.012,0.115,True,False,0.302,False
bank,А-Банк,0.332,0.268,0.064,0.002,0.124,0.05,False,True,0.175,False
bank,Sense Bank,0.552,0.396,0.156,0.078,0.236,0.0,False,True,0.0,True
bank,Укргазбанк,0.222,0.222,0.0,-0.024,0.026,1.0,False,False,1.0,False
bank,OTP Bank,0.234,0.212,0.022,-0.028,0.08,0.459,True,False,0.714,False
bank,Укрексімбанк,0.18,0.132,0.048,0.002,0.1,0.047,False,True,0.175,False
bank,Креді Агріколь,0.202,0.258,-0.056,-0.106,-0.008,0.025,True,True,0.117,False
bank,Кредобанк,0.124,0.072,0.052,0.012,0.098,0.009,True,True,0.054,False
ecom,Rozetka,0.86,0.866,-0.006,-0.032,0.024,0.681,False,False,0.868,False
ecom,Prom.ua,0.45,0.42,0.03,-0.024,0.086,0.311,False,False,0.569,False
ecom,Епіцентр,0.432,0.38,0.052,-0.024,0.124,0.176,False,False,0.373,False
ecom,Comfy,0.698,0.712,-0.014,-0.066,0.036,0.616,False,False,0.859,False
ecom,Фокстрот,0.652,0.682,-0.03,-0.098,0.036,0.4,False,False,0.646,False
ecom,Allo,0.576,0.56,0.016,-0.056,0.088,0.682,False,False,0.868,False
ecom,MOYO,0.388,0.33,0.058,-0.01,0.126,0.098,False,False,0.273,False
ecom,Kasta,0.204,0.164,0.04,-0.006,0.088,0.09,False,False,0.269,False
ecom,MAUDAU,0.028,0.028,0.0,-0.014,0.016,1.0,False,False,1.0,False
ecom,Цитрус,0.344,0.368,-0.024,-0.094,0.046,0.506,False,False,0.733,False
food,Glovo,0.956,0.948,0.008,-0.06,0.068,0.817,True,False,0.954,False
food,Bolt Food,0.812,0.892,-0.08,-0.188,0.02,0.138,True,False,0.342,False
food,Zakaz.ua,0.424,0.468,-0.044,-0.08,-0.012,0.013,False,True,0.067,False
food,Сільпо,0.488,0.512,-0.024,-0.064,0.024,0.342,False,False,0.599,False
pharma,Аптека 9-1-1,0.644,0.69,-0.046,-0.158,0.044,0.4,False,False,0.646,False
pharma,Подорожник,0.686,0.674,0.012,-0.068,0.088,0.773,False,False,0.928,False
pharma,АНЦ,0.708,0.708,0.0,-0.09,0.076,0.979,False,False,1.0,False
pharma,Аптека Доброго Дня,0.568,0.506,0.062,-0.008,0.13,0.085,False,False,0.269,False
pharma,Бажаємо здоров'я,0.488,0.402,0.086,0.01,0.164,0.031,False,True,0.129,False
pharma,Аптека оптових цін,0.076,0.038,0.038,0.012,0.07,0.003,False,True,0.022,True
pharma,D.S.,0.066,0.076,-0.01,-0.034,0.014,0.478,False,False,0.717,False
pharma,Копійка,0.178,0.186,-0.008,-0.084,0.048,0.924,False,False,1.0,False
pharma,Tabletki.ua,0.68,0.684,-0.004,-0.062,0.052,0.912,False,False,1.0,False
pharma,Liki24,0.596,0.58,0.016,-0.046,0.076,0.634,False,False,0.859,False
post,Нова Пошта,0.936,0.968,-0.032,-0.084,0.008,0.231,False,False,0.442,False
post,Укрпошта,0.876,0.876,0.0,-0.044,0.052,1.0,False,False,1.0,False
post,Meest,0.88,0.744,0.136,0.076,0.204,0.0,False,True,0.0,True
post,Delivery,0.18,0.224,-0.044,-0.108,0.016,0.178,False,False,0.373,False
post,САТ,0.128,0.088,0.04,-0.012,0.112,0.199,False,False,0.398,False
