industry,brand,nbu_name,net_assets_mln,depositors,deposits_mln
bank,ПриватБанк,"АТ КБ ""ПриватБанк""",942809.9895646899,24334778,673497.53295755
bank,monobank,"АТ ""УНІВЕРСАЛ БАНК""",241584.15624712,10823709,156063.88364410002
bank,Ощадбанк,"АТ ""Ощадбанк""",489721.09415391,12372414,258922.23322375
bank,Райффайзен Банк,"АТ ""Райффайзен Банк""",268890.61350038,3434810,103345.20299535
bank,ПУМБ,"АТ ""ПУМБ""",242083.69360399997,3903584,82922.64168977
bank,УкрСиббанк,"АТ ""УКРСИББАНК""",192472.67677030998,2076961,79080.32151827001
bank,А-Банк,"АТ ""А - БАНК""",52419.93476305,4377698,33835.31654477
bank,Sense Bank,"АТ ""СЕНС БАНК""",150624.05965118,3152098,52600.85459051
bank,Укргазбанк,"АБ ""УКРГАЗБАНК""",219711.83800391998,1475569,43513.21727918
bank,OTP Bank,"АТ ""ОТП БАНК""",141027.10062511,1227584,38018.148613310004
bank,Укрексімбанк,"АТ ""Укрексімбанк""",281503.72020557,369319,22738.446083259998
bank,Креді Агріколь,"АТ ""КРЕДІ АГРІКОЛЬ БАНК""",133338.56681052,428289,30292.23253935
bank,Кредобанк,"АТ ""КРЕДОБАНК""",77154.68429015,534426,29852.63321247
