industry,brand,nbu_name,net_assets_mln,depositors,deposits_mln,mr,fp,aio_uk
bank,ПриватБанк,"АТ КБ ""ПриватБанк""",942809.98956469,24334778,673497.53295755,0.94,0.33,0.93
bank,monobank,"АТ ""УНІВЕРСАЛ БАНК""",241584.15624712,10823709,156063.88364410002,0.76,0.49,0.65
bank,Ощадбанк,"АТ ""Ощадбанк""",489721.09415391,12372414,258922.23322375,0.49,0.05,0.48
bank,Райффайзен Банк,"АТ ""Райффайзен Банк""",268890.61350038,3434810,103345.20299535,0.59,0.02,0.48
bank,ПУМБ,"АТ ""ПУМБ""",242083.69360399997,3903584,82922.64168977,0.6,0.04,0.54
bank,УкрСиббанк,"АТ ""УКРСИББАНК""",192472.67677031,2076961,79080.32151827001,0.34,0.01,0.16
bank,А-Банк,"АТ ""А - БАНК""",52419.93476305,4377698,33835.31654477,0.3,0.0,0.32
bank,Sense Bank,"АТ ""СЕНС БАНК""",150624.05965118,3152098,52600.85459051,0.47,0.01,0.27
bank,Укргазбанк,"АБ ""УКРГАЗБАНК""",219711.83800392,1475569,43513.21727918,0.22,0.01,0.08
bank,OTP Bank,"АТ ""ОТП БАНК""",141027.10062511,1227584,38018.14861331,0.22,0.0,0.0
bank,Укрексімбанк,"АТ ""Укрексімбанк""",281503.72020557,369319,22738.44608326,0.16,0.0,0.19
bank,Креді Агріколь,"АТ ""КРЕДІ АГРІКОЛЬ БАНК""",133338.56681052,428289,30292.23253935,0.23,0.01,0.23
bank,Кредобанк,"АТ ""КРЕДОБАНК""",77154.68429015,534426,29852.63321247,0.1,0.0,0.14
