industry,brand,domain,visits_mln,source,mr,fp,aio_uk
ecom,Rozetka,rozetka.com.ua,45.4,RetailersUA 09.2025 (SimilarWeb),0.86,0.67,0.66
ecom,Prom.ua,prom.ua,32.9,RetailersUA 09.2025 (SimilarWeb),0.44,0.01,0.27
ecom,Епіцентр,epicentrk.ua,14.5,RetailersUA 09.2025 (SimilarWeb),0.4,0.02,0.51
ecom,Comfy,comfy.ua,7.8,RetailersUA 09.2025 (SimilarWeb),0.7,0.12,0.57
ecom,Allo,allo.ua,6.4,RetailersUA 09.2025 (SimilarWeb),0.57,0.01,0.39
ecom,Фокстрот,foxtrot.com.ua,4.8,RetailersUA 09.2025 (SimilarWeb),0.67,0.02,0.52
ecom,Kasta,kasta.ua,3.2,RetailersUA 09.2025 (SimilarWeb),0.18,0.03,0.15
ecom,MOYO,moyo.ua,2.7,RetailersUA 09.2025 (SimilarWeb),0.36,0.01,0.08
ecom,MAUDAU,maudau.com.ua,2.3,RetailersUA 09.2025 (SimilarWeb),0.03,0.0,0.05
ecom,Цитрус,ctrs.com.ua,1.5,RetailersUA 09.2025 (SimilarWeb),0.35,0.0,0.15
pharma,Tabletki.ua,tabletki.ua,18.7,RetailersUA 09.2025 (SimilarWeb),0.68,0.37,0.6363636363636364
pharma,Аптека 9-1-1,apteka911.ua,3.4,RetailersUA 09.2025 (SimilarWeb),0.67,0.12,0.3838383838383838
pharma,АНЦ,anc.ua,2.3,RetailersUA 09.2025 (SimilarWeb),0.71,0.19,0.797979797979798
pharma,Подорожник,podorozhnyk.ua,2.2,RetailersUA 09.2025 (SimilarWeb),0.66,0.05,0.6262626262626263
pharma,Аптека Доброго Дня,add.ua,1.2,RetailersUA 09.2025 (SimilarWeb),0.51,0.08,0.20202020202020202
pharma,Бажаємо здоров'я,apteka.net.ua,1.1,RetailersUA 09.2025 (SimilarWeb),0.38,0.0,0.1919191919191919
pharma,Liki24,liki24.com,0.497,RetailersUA 09.2025 (SimilarWeb),0.59,0.07,0.2727272727272727
pharma,D.S.,apteka-ds.com.ua,0.188,RetailersUA 09.2025 (SimilarWeb),0.07,0.0,0.1414141414141414
