industry,brand,net_assets,depositors,deposits,mr,fp,aio,market,domain,visits_mln,source,r_market,r_mr,r_fp,r_aio
bank,ПриватБанк,942809989.5646899,24334778.0,673497532.95755,0.941,0.303,0.93,24334778.0,,,,1.0,1.0,0.9230769230769231,1.0
bank,monobank,241584156.24712,10823709.0,156063883.6441,0.755,0.451,0.65,10823709.0,,,,0.8461538461538461,0.9230769230769231,1.0,0.9230769230769231
bank,Ощадбанк,489721094.15391,12372414.0,258922233.22375,0.49,0.022,0.48,12372414.0,,,,0.9230769230769231,0.6923076923076923,0.7692307692307693,0.7307692307692307
bank,Райффайзен Банк,268890613.50038004,3434810.0,103345202.99535,0.586,0.019,0.48,3434810.0,,,,0.6153846153846154,0.7692307692307693,0.6923076923076923,0.7307692307692307
bank,ПУМБ,242083693.60399997,3903584.0,82922641.68977,0.6,0.034,0.54,3903584.0,,,,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.8461538461538461
bank,УкрСиббанк,192472676.77030998,2076961.0,79080321.51827,0.344,0.011,0.16,2076961.0,,,,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.3076923076923077
bank,А-Банк,52419934.76305,4377698.0,33835316.54477,0.3,0.001,0.32,4377698.0,,,,0.7692307692307693,0.46153846153846156,0.2692307692307692,0.6153846153846154
bank,Sense Bank,150624059.65118,3152098.0,52600854.59051,0.474,0.004,0.27,3152098.0,,,,0.5384615384615384,0.6153846153846154,0.4230769230769231,0.5384615384615384
bank,Укргазбанк,219711838.00392,1475569.0,43513217.27918,0.222,0.004,0.08,1475569.0,,,,0.38461538461538464,0.23076923076923078,0.4230769230769231,0.15384615384615385
bank,OTP Bank,141027100.62511,1227584.0,38018148.61331,0.223,0.001,0.0,1227584.0,,,,0.3076923076923077,0.3076923076923077,0.2692307692307692,0.07692307692307693
bank,Укрексімбанк,281503720.20557,369319.0,22738446.08326,0.156,0.0,0.19,369319.0,,,,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.38461538461538464
bank,Креді Агріколь,133338566.81052,428289.0,30292232.53935,0.23,0.009,0.23,428289.0,,,,0.15384615384615385,0.38461538461538464,0.5384615384615384,0.46153846153846156
bank,Кредобанк,77154684.29015,534426.0,29852633.21247,0.098,0.0,0.14,534426.0,,,,0.23076923076923078,0.07692307692307693,0.11538461538461539,0.23076923076923078
ecom,Rozetka,,,,0.863,0.55,0.66,45.4,rozetka.com.ua,45.4,RetailersUA 09.2025 (SimilarWeb),1.0,1.0,1.0,1.0
ecom,Prom.ua,,,,0.435,0.004,0.27,32.9,prom.ua,32.9,RetailersUA 09.2025 (SimilarWeb),0.9,0.6,0.5,0.5
ecom,Епіцентр,,,,0.406,0.006,0.51,14.5,epicentrk.ua,14.5,RetailersUA 09.2025 (SimilarWeb),0.8,0.5,0.6,0.7
ecom,Comfy,,,,0.705,0.084,0.57,7.8,comfy.ua,7.8,RetailersUA 09.2025 (SimilarWeb),0.7,0.9,0.9,0.9
ecom,Allo,,,,0.568,0.001,0.39,6.4,allo.ua,6.4,RetailersUA 09.2025 (SimilarWeb),0.6,0.7,0.25,0.6
ecom,Фокстрот,,,,0.667,0.016,0.52,4.8,foxtrot.com.ua,4.8,RetailersUA 09.2025 (SimilarWeb),0.5,0.8,0.7,0.8
ecom,Kasta,,,,0.184,0.018,0.15,3.2,kasta.ua,3.2,RetailersUA 09.2025 (SimilarWeb),0.4,0.2,0.8,0.35
ecom,MOYO,,,,0.359,0.003,0.08,2.7,moyo.ua,2.7,RetailersUA 09.2025 (SimilarWeb),0.3,0.4,0.4,0.2
ecom,MAUDAU,,,,0.028,0.0,0.05,2.3,maudau.com.ua,2.3,RetailersUA 09.2025 (SimilarWeb),0.2,0.1,0.1,0.1
ecom,Цитрус,,,,0.356,0.001,0.15,1.5,ctrs.com.ua,1.5,RetailersUA 09.2025 (SimilarWeb),0.1,0.3,0.25,0.35
pharma,Tabletki.ua,,,,0.682,0.339,0.6363636363636364,18.7,tabletki.ua,18.7,RetailersUA 09.2025 (SimilarWeb),1.0,0.875,1.0,0.875
pharma,Аптека 9-1-1,,,,0.667,0.112,0.3838383838383838,3.4,apteka911.ua,3.4,RetailersUA 09.2025 (SimilarWeb),0.875,0.625,0.75,0.625
pharma,АНЦ,,,,0.708,0.156,0.797979797979798,2.3,anc.ua,2.3,RetailersUA 09.2025 (SimilarWeb),0.75,1.0,0.875,1.0
pharma,Подорожник,,,,0.68,0.034,0.6262626262626263,2.2,podorozhnyk.ua,2.2,RetailersUA 09.2025 (SimilarWeb),0.625,0.75,0.375,0.75
pharma,Аптека Доброго Дня,,,,0.537,0.068,0.20202020202020202,1.2,add.ua,1.2,RetailersUA 09.2025 (SimilarWeb),0.5,0.375,0.625,0.25
pharma,Бажаємо здоров'я,,,,0.445,0.001,0.21212121212121213,1.1,apteka.net.ua,1.1,RetailersUA 09.2025 (SimilarWeb),0.375,0.25,0.25,0.375
pharma,Liki24,,,,0.588,0.057,0.2727272727272727,0.497,liki24.com,0.497,RetailersUA 09.2025 (SimilarWeb),0.25,0.5,0.5,0.5
pharma,D.S.,,,,0.071,0.0,0.1414141414141414,0.188,apteka-ds.com.ua,0.188,RetailersUA 09.2025 (SimilarWeb),0.125,0.125,0.125,0.125
