set,,mr,r_mr,r_lo,r_hi,market,r_mkt,gap,robust
банки (вкладники),OTP Bank,0.223,10.0,8.0,11.0,1227584.0,10.0,0.0,False
банки (вкладники),Sense Bank,0.474,6.0,4.0,7.0,3152098.0,7.0,1.0,False
банки (вкладники),monobank,0.755,2.0,2.0,3.0,10823709.0,3.0,1.0,False
банки (вкладники),А-Банк,0.3,8.0,6.0,12.0,4377698.0,4.0,-4.0,True
банки (вкладники),Кредобанк,0.098,13.0,12.0,13.0,534426.0,11.0,-2.0,True
банки (вкладники),Креді Агріколь,0.23,9.0,8.0,11.0,428289.0,12.0,3.0,True
банки (вкладники),Ощадбанк,0.49,5.0,3.0,7.0,12372414.0,2.0,-3.0,True
банки (вкладники),ПУМБ,0.6,3.0,3.0,5.0,3903584.0,5.0,2.0,False
банки (вкладники),ПриватБанк,0.941,1.0,1.0,1.0,24334778.0,1.0,0.0,False
банки (вкладники),Райффайзен Банк,0.586,4.0,2.0,5.0,3434810.0,6.0,2.0,True
банки (вкладники),УкрСиббанк,0.344,7.0,6.0,8.0,2076961.0,8.0,1.0,False
банки (вкладники),Укргазбанк,0.222,11.0,8.0,11.0,1475569.0,9.0,-2.0,False
банки (вкладники),Укрексімбанк,0.156,12.0,11.0,13.0,369319.0,13.0,1.0,False
"торгівля, усі запити",Allo,0.568,4.0,4.0,6.0,6.4,5.0,1.0,False
"торгівля, усі запити",Comfy,0.705,2.0,2.0,2.0,7.8,4.0,2.0,True
"торгівля, усі запити",Kasta,0.184,9.0,7.0,9.0,3.2,7.0,-2.0,False
"торгівля, усі запити",MAUDAU,0.028,10.0,10.0,10.0,2.3,9.0,-1.0,True
"торгівля, усі запити",MOYO,0.359,7.0,5.0,8.512499999999932,2.7,8.0,1.0,False
"торгівля, усі запити",Prom.ua,0.435,5.0,4.0,8.0,32.9,2.0,-3.0,True
"торгівля, усі запити",Rozetka,0.863,1.0,1.0,1.0,45.4,1.0,0.0,False
"торгівля, усі запити",Епіцентр,0.406,6.0,4.0,8.0,14.5,3.0,-3.0,True
"торгівля, усі запити",Фокстрот,0.667,3.0,3.0,3.0,4.8,6.0,3.0,True
"торгівля, усі запити",Цитрус,0.356,8.0,5.0,8.5,1.5,10.0,2.0,True
торгівля без запитів про техніку,Allo,0.38727272727272727,6.0,5.0,7.0,6.4,5.0,-1.0,False
торгівля без запитів про техніку,Comfy,0.5418181818181819,4.0,2.0,4.0,7.8,4.0,0.0,False
торгівля без запитів про техніку,Kasta,0.31636363636363635,7.0,4.0,7.0,3.2,7.0,0.0,False
торгівля без запитів про техніку,MAUDAU,0.05090909090909091,10.0,9.0,10.0,2.3,9.0,-1.0,False
торгівля без запитів про техніку,MOYO,0.14909090909090908,9.0,8.0,9.0,2.7,8.0,-1.0,False
торгівля без запитів про техніку,Prom.ua,0.5472727272727272,2.0,2.0,6.0,32.9,2.0,0.0,False
торгівля без запитів про техніку,Rozetka,0.8109090909090909,1.0,1.0,1.0,45.4,1.0,0.0,False
торгівля без запитів про техніку,Епіцентр,0.5436363636363636,3.0,2.0,6.0,14.5,3.0,0.0,False
торгівля без запитів про техніку,Фокстрот,0.4672727272727273,5.0,3.0,6.0,4.8,6.0,1.0,False
торгівля без запитів про техніку,Цитрус,0.15636363636363637,8.0,8.0,9.512499999999932,1.5,10.0,2.0,True
аптеки,D.S.,0.071,8.0,8.0,8.0,0.188,8.0,0.0,False
аптеки,Liki24,0.588,5.0,2.0,7.0,0.497,7.0,2.0,False
аптеки,Tabletki.ua,0.682,2.0,1.0,5.0,18.7,1.0,-1.0,False
аптеки,АНЦ,0.708,1.0,1.0,3.0,2.3,3.0,2.0,False
аптеки,Аптека 9-1-1,0.667,4.0,1.0,5.0,3.4,2.0,-2.0,False
аптеки,Аптека Доброго Дня,0.537,6.0,4.0,6.0,1.2,5.0,-1.0,False
аптеки,Бажаємо здоров'я,0.445,7.0,6.0,7.0,1.1,6.0,-1.0,False
аптеки,Подорожник,0.68,3.0,1.5,5.0,2.2,4.0,1.0,False
