industry,brand,domain,visits_mln,source
ecom,Rozetka,rozetka.com.ua,45.4,RetailersUA 09.2025 (SimilarWeb)
ecom,Prom.ua,prom.ua,32.9,RetailersUA 09.2025 (SimilarWeb)
ecom,Епіцентр,epicentrk.ua,14.5,RetailersUA 09.2025 (SimilarWeb)
ecom,Comfy,comfy.ua,7.8,RetailersUA 09.2025 (SimilarWeb)
ecom,Allo,allo.ua,6.4,RetailersUA 09.2025 (SimilarWeb)
ecom,Фокстрот,foxtrot.com.ua,4.8,RetailersUA 09.2025 (SimilarWeb)
ecom,Kasta,kasta.ua,3.2,RetailersUA 09.2025 (SimilarWeb)
ecom,MOYO,moyo.ua,2.7,RetailersUA 09.2025 (SimilarWeb)
ecom,MAUDAU,maudau.com.ua,2.3,RetailersUA 09.2025 (SimilarWeb)
ecom,Цитрус,ctrs.com.ua,1.5,RetailersUA 09.2025 (SimilarWeb)
pharma,Tabletki.ua,tabletki.ua,18.7,RetailersUA 09.2025 (SimilarWeb)
pharma,Аптека 9-1-1,apteka911.ua,3.4,RetailersUA 09.2025 (SimilarWeb)
pharma,АНЦ,anc.ua,2.3,RetailersUA 09.2025 (SimilarWeb)
pharma,Подорожник,podorozhnyk.ua,2.2,RetailersUA 09.2025 (SimilarWeb)
pharma,Аптека Доброго Дня,add.ua,1.2,RetailersUA 09.2025 (SimilarWeb)
pharma,Бажаємо здоров'я,apteka.net.ua,1.1,RetailersUA 09.2025 (SimilarWeb)
pharma,Liki24,liki24.com,0.497,RetailersUA 09.2025 (SimilarWeb)
pharma,D.S.,apteka-ds.com.ua,0.188,RetailersUA 09.2025 (SimilarWeb)
