brand_quantile,queries,repeats,systems,mde_fixed,mde_new_queries,ci_half_width
0.5,10,2,1,0.248,0.447,0.221
0.5,10,2,5,0.111,0.324,0.16
0.5,10,6,1,0.143,0.398,0.197
0.5,10,6,5,0.064,0.311,0.154
0.5,10,10,1,0.111,0.388,0.192
0.5,10,10,5,0.05,0.309,0.153
0.5,20,2,1,0.175,0.316,0.156
0.5,20,2,5,0.078,0.229,0.113
0.5,20,6,1,0.101,0.282,0.139
0.5,20,6,5,0.045,0.22,0.109
0.5,20,10,1,0.078,0.274,0.136
0.5,20,10,5,0.035,0.218,0.108
0.5,40,2,1,0.124,0.223,0.111
0.5,40,2,5,0.055,0.162,0.08
0.5,40,6,1,0.071,0.199,0.099
0.5,40,6,5,0.032,0.156,0.077
0.5,40,10,1,0.055,0.194,0.096
0.5,40,10,5,0.025,0.154,0.076
0.75,10,2,1,0.286,0.526,0.26
0.75,10,2,5,0.128,0.397,0.196
0.75,10,6,1,0.165,0.472,0.233
0.75,10,6,5,0.074,0.383,0.189
0.75,10,10,1,0.128,0.46,0.228
0.75,10,10,5,0.057,0.38,0.188
0.75,20,2,1,0.202,0.372,0.184
0.75,20,2,5,0.09,0.28,0.139
0.75,20,6,1,0.117,0.333,0.165
0.75,20,6,5,0.052,0.271,0.134
0.75,20,10,1,0.09,0.325,0.161
0.75,20,10,5,0.04,0.269,0.133
0.75,40,2,1,0.143,0.263,0.13
0.75,40,2,5,0.064,0.198,0.098
0.75,40,6,1,0.083,0.236,0.117
0.75,40,6,5,0.037,0.191,0.095
0.75,40,10,1,0.064,0.23,0.114
0.75,40,10,5,0.029,0.19,0.094
