brand,est,lo,hi,min,max,intent
OTP Bank,0.17,0.06,0.28,0.04,0.32,BEST
Sense Bank,0.43,0.21,0.7,0.16,0.84,BEST
monobank,0.78,0.44,0.99,0.26,1.0,BEST
А-Банк,0.32,0.11,0.5,0.0,0.56,BEST
Кредобанк,0.08,0.0,0.2,0.0,0.26,BEST
Креді Агріколь,0.32,0.07,0.56,0.04,0.7,BEST
Ощадбанк,0.56,0.24,0.89,0.1,0.98,BEST
ПУМБ,0.55,0.34,0.68,0.24,0.7,BEST
ПриватБанк,0.97,0.91,1.0,0.88,1.0,BEST
Райффайзен Банк,0.67,0.4,0.94,0.3,0.94,BEST
УкрСиббанк,0.41,0.15,0.67,0.06,0.76,BEST
Укргазбанк,0.15,0.01,0.4,0.0,0.52,BEST
Укрексімбанк,0.14,0.01,0.35,0.0,0.46,BEST
OTP Bank,0.22,0.18,0.27,0.16,0.28,TASK
Sense Bank,0.5,0.3,0.7,0.22,0.78,TASK
monobank,0.69,0.23,0.96,0.0,1.0,TASK
А-Банк,0.34,0.07,0.66,0.0,0.8,TASK
Кредобанк,0.12,0.0,0.27,0.0,0.36,TASK
Креді Агріколь,0.14,0.09,0.19,0.08,0.22,TASK
Ощадбанк,0.56,0.28,0.83,0.26,1.0,TASK
ПУМБ,0.68,0.36,0.98,0.16,0.98,TASK
ПриватБанк,0.99,0.97,1.0,0.96,1.0,TASK
Райффайзен Банк,0.66,0.44,0.88,0.42,0.92,TASK
УкрСиббанк,0.3,0.18,0.42,0.14,0.44,TASK
Укргазбанк,0.32,0.03,0.76,0.0,1.0,TASK
Укрексімбанк,0.04,0.0,0.09,0.0,0.12,TASK
OTP Bank,0.2,0.05,0.36,0.02,0.46,COMP
Sense Bank,0.54,0.3,0.76,0.2,0.84,COMP
monobank,0.86,0.7,0.97,0.62,0.98,COMP
А-Банк,0.38,0.18,0.6,0.1,0.68,COMP
Кредобанк,0.01,0.0,0.02,0.0,0.02,COMP
Креді Агріколь,0.13,0.01,0.34,0.0,0.44,COMP
Ощадбанк,0.39,0.08,0.7,0.08,0.84,COMP
ПУМБ,0.78,0.67,0.89,0.66,0.96,COMP
ПриватБанк,0.93,0.87,0.99,0.86,1.0,COMP
Райффайзен Банк,0.46,0.15,0.78,0.08,0.86,COMP
УкрСиббанк,0.27,0.05,0.49,0.04,0.5,COMP
Укргазбанк,0.22,0.0,0.51,0.0,0.68,COMP
Укрексімбанк,0.2,0.0,0.48,0.0,0.64,COMP
OTP Bank,0.04,0.02,0.05,0.02,0.06,PRICE
Sense Bank,0.54,0.38,0.68,0.28,0.68,PRICE
monobank,0.82,0.52,1.0,0.36,1.0,PRICE
А-Банк,0.38,0.32,0.46,0.3,0.5,PRICE
Кредобанк,0.06,0.02,0.14,0.02,0.18,PRICE
Креді Агріколь,0.04,0.02,0.06,0.02,0.08,PRICE
Ощадбанк,0.34,0.24,0.46,0.22,0.52,PRICE
ПУМБ,0.64,0.36,0.86,0.2,0.86,PRICE
ПриватБанк,0.82,0.62,0.94,0.52,0.94,PRICE
Райффайзен Банк,0.24,0.19,0.3,0.18,0.3,PRICE
УкрСиббанк,0.14,0.08,0.21,0.06,0.24,PRICE
Укргазбанк,0.07,0.02,0.14,0.0,0.18,PRICE
Укрексімбанк,0.02,0.0,0.04,0.0,0.06,PRICE
OTP Bank,0.48,0.16,0.75,0.1,0.88,TRUST
Sense Bank,0.36,0.22,0.53,0.18,0.6,TRUST
monobank,0.62,0.24,0.96,0.16,0.98,TRUST
А-Банк,0.08,0.01,0.2,0.0,0.26,TRUST
Кредобанк,0.22,0.02,0.44,0.0,0.56,TRUST
Креді Агріколь,0.53,0.18,0.83,0.14,0.9,TRUST
Ощадбанк,0.6,0.21,0.99,0.2,1.0,TRUST
ПУМБ,0.35,0.2,0.48,0.12,0.54,TRUST
ПриватБанк,0.99,0.98,1.0,0.98,1.0,TRUST
Райффайзен Банк,0.89,0.78,0.98,0.72,1.0,TRUST
УкрСиббанк,0.6,0.32,0.82,0.26,0.92,TRUST
Укргазбанк,0.36,0.0,0.7,0.0,0.7,TRUST
Укрексімбанк,0.38,0.02,0.74,0.0,0.84,TRUST
