industry,brand,MR,FP,rank,uk,en,min,max,sent,rec
Банки,ПриватБанк,0.94,0.33,2.06,0.92,0.96,0.86,1.0,0.7,0.81
Банки,monobank,0.76,0.49,2.07,0.75,0.76,0.58,0.92,0.91,0.9
Банки,Ощадбанк,0.49,0.05,3.27,0.53,0.45,0.36,0.62,0.62,0.64
Банки,Райффайзен Банк,0.59,0.02,4.13,0.52,0.66,0.54,0.66,0.75,0.71
Банки,ПУМБ,0.6,0.04,4.23,0.66,0.54,0.46,0.78,0.81,0.64
Банки,УкрСиббанк,0.34,0.01,5.17,0.32,0.37,0.18,0.56,0.77,0.69
Банки,А-Банк,0.3,0.0,4.21,0.33,0.27,0.09,0.64,0.61,0.38
Банки,Sense Bank,0.47,0.01,4.1,0.55,0.4,0.27,0.72,0.6,0.52
Банки,Укргазбанк,0.22,0.01,3.79,0.22,0.22,0.13,0.32,0.7,0.59
Банки,OTP Bank,0.22,0.0,6.57,0.23,0.21,0.14,0.32,0.74,0.57
Банки,Укрексімбанк,0.16,0.0,4.09,0.18,0.13,0.1,0.24,0.73,0.5
Банки,Креді Агріколь,0.23,0.01,5.83,0.2,0.26,0.1,0.3,0.82,0.74
Банки,Кредобанк,0.1,0.0,6.79,0.12,0.07,0.04,0.22,0.89,0.62
E-commerce,Rozetka,0.86,0.67,1.51,0.86,0.87,0.63,0.95,0.86,0.92
E-commerce,Prom.ua,0.44,0.01,3.78,0.45,0.42,0.18,0.62,0.56,0.81
E-commerce,Епіцентр,0.4,0.02,4.18,0.43,0.38,0.3,0.48,0.86,0.88
E-commerce,Comfy,0.7,0.12,2.43,0.7,0.71,0.42,0.84,0.87,0.9
E-commerce,Фокстрот,0.67,0.02,3.27,0.65,0.68,0.44,0.78,0.85,0.86
E-commerce,Allo,0.57,0.01,4.25,0.58,0.56,0.28,0.76,0.85,0.86
E-commerce,MOYO,0.36,0.01,4.79,0.39,0.33,0.21,0.51,0.87,0.9
E-commerce,Kasta,0.18,0.03,4.47,0.2,0.16,0.06,0.4,0.86,0.85
E-commerce,MAUDAU,0.03,0.0,4.25,0.03,0.03,0.0,0.1,0.93,0.93
E-commerce,Цитрус,0.35,0.0,5.1,0.34,0.36,0.17,0.55,0.87,0.88
Аптеки,Аптека 9-1-1,0.67,0.12,3.27,0.64,0.69,0.53,0.76,0.8,0.75
Аптеки,Подорожник,0.66,0.05,3.61,0.69,0.64,0.39,0.88,0.78,0.74
Аптеки,АНЦ,0.71,0.19,2.57,0.71,0.71,0.43,0.92,0.83,0.8
Аптеки,Аптека Доброго Дня,0.51,0.08,3.67,0.57,0.45,0.19,0.74,0.79,0.76
Аптеки,Бажаємо здоров'я,0.38,0.0,4.74,0.47,0.3,0.14,0.6,0.74,0.69
Аптеки,Аптека оптових цін,0.06,0.0,5.12,0.08,0.04,0.0,0.24,0.96,0.72
Аптеки,D.S.,0.07,0.0,5.45,0.07,0.08,0.01,0.14,0.8,0.76
Аптеки,Копійка,0.18,0.0,3.94,0.18,0.18,0.01,0.68,0.78,0.65
Аптеки,Tabletki.ua,0.68,0.37,2.95,0.68,0.68,0.36,0.92,0.88,0.94
Аптеки,Liki24,0.59,0.07,3.5,0.6,0.58,0.19,0.8,0.89,0.94
Пошта і логістика,Нова Пошта,0.95,0.64,1.43,0.94,0.97,0.87,1.0,0.75,0.85
Пошта і логістика,Укрпошта,0.88,0.25,1.86,0.88,0.88,0.81,0.91,0.39,0.65
Пошта і логістика,Meest,0.81,0.05,2.72,0.88,0.74,0.62,0.91,0.56,0.61
Пошта і логістика,Delivery,0.2,0.03,3.12,0.18,0.22,0.14,0.36,0.67,0.73
Пошта і логістика,САТ,0.11,0.01,3.48,0.13,0.09,0.02,0.19,0.68,0.77
Доставка їжі і продуктів,Glovo,0.95,0.54,1.61,0.96,0.95,0.81,1.0,0.68,0.8
Доставка їжі і продуктів,Bolt Food,0.85,0.14,2.21,0.81,0.89,0.63,0.98,0.72,0.75
Доставка їжі і продуктів,Zakaz.ua,0.45,0.11,2.43,0.42,0.47,0.32,0.6,0.74,0.8
Доставка їжі і продуктів,Сільпо,0.5,0.18,2.15,0.49,0.51,0.2,0.95,0.63,0.64
